bridge,variant,paper_effort,worst_cen,effect,unit,n_peaks,mean,std,skewness,kurtosis,weibull_k,weibull_alpha,weibull_u,N_TR117,Q_TR117,R_TR117,N_TR174,Q_TR174,R_TR174
lc10,pr,M-,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,kN.m,5927,609.5026266812913,59.34965920869068,1.5243189459203896,5.527622520874743,1.1983423175290226,75.26338442161456,538.6804046729047,8437084.5,1297.6575777478633,0.025180388232812233,12547459.0,1313.3869538836202,0.025283043794898305
lc10,pr,V,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,kN,4789,335.3459686860118,25.49817366437643,2.0608235275756543,8.953085988605466,0.9802431635558606,24.777650528080414,310.3530198555784,6817141.5,722.4964468612295,0.03742405421716828,10138313.0,733.1041010269889,0.03740526968708007
lc10,rj,M+,cen6,MOMENTO_(+)_FIM_LONG_1,kN.m,2016,570.5685924751259,53.421753757775775,1.8319373567187511,7.062748547051086,1.0603554327040912,57.93668712404296,513.949665625388,2869776.0,1252.7543633879309,0.021341518874100535,4267872.0,1271.3370466204997,0.021373540302721615
lc10,rj,M-,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,kN.m,3755,557.0730529502431,54.26718486258348,1.9359273621236635,7.655293262278443,1.021961162984371,55.95296970002682,501.6178365478493,5345242.5,1318.8555142504579,0.01937249595210681,7949335.0,1339.3367706879044,0.019383029656142938
lc10,rj,V,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,kN,2754,337.1901310433314,32.204549947554774,1.70648462339081,6.566307239356181,1.111788391508162,37.17882342430953,301.4397874062971,3920319.0,730.8139525673514,0.039310282136190366,5830218.0,740.8969300348076,0.0394124158834711
lc10,sc,M+,cen2,MOMENTO_(+)_FIM_LONG_1,kN.m,1109,602.55467406511,46.50568042699994,2.4530991282215937,12.504539214373844,0.8738672519102693,37.8760025801785,562.0318271518368,1578661.5,1355.4254835238119,0.015719699958332018,2347753.0,1380.7231437352402,0.015657588635194487
lc10,sc,M-,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,kN.m,2956,628.6645691906176,53.352759794027726,1.5188131922272872,5.724981180527885,1.2012086668983102,67.85499385067253,564.8529057057812,4207866.0,1220.554593853354,0.027941661442573533,6257852.0,1234.7278768256788,0.028062149987160324
lc10,sc,V,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,kN,1557,390.0529354065057,29.03456523760372,1.6932108203985379,7.560580941730099,1.1175921721383932,33.74501136570519,357.6581100718491,2216389.5,729.4956077709553,0.043915891422721474,3296169.0,738.5201271653523,0.044039904031365554
lc10,sp,M+,cen4,MOMENTO_(+)_FIM_LONG_1,kN.m,3299,541.7128651301049,44.57650920472637,2.1534469046904614,9.283400081007368,0.9520315608941017,41.4951194843336,499.2899736899725,4696126.5,1230.819301347116,0.019992835474342656,6983983.0,1250.683296553569,0.01996715783976276
lc10,sp,M-,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,kN.m,3782,586.2436927295549,52.909344818052425,1.7374059489763487,6.4579517987949,1.0985478075221182,60.13833837273271,528.1901514091011,5383677.0,1257.098817469333,0.023358568506909188,8006494.0,1274.0703070337188,0.023411611144890754
