bridge_label,family,span_m,effort,uf,gov_cen,gov_effect,gov_girder,Q141,Q117,Q174,weibull_k,weibull_alpha,weibull_u,unit,n_peaks,source
S-40,S,40,V,pb,cen2,CORTANTE_APOIO_INICIO_LONG_1,1,718.5,712.6,725.1,0.9219,23.26,350.634,kN,200,5lg
S-40,S,40,V,pr,cen2,CORTANTE_APOIO_INICIO_LONG_1,1,757.3,752.3,762.9,1.005,27.309,360.404,kN,1455,5lg
S-40,S,40,V,rj,cen2,CORTANTE_APOIO_INICIO_LONG_1,1,686.6,682.3,691.5,1.0755,29.877,362.184,kN,258,5lg
S-40,S,40,V,sc,cen2,CORTANTE_APOIO_INICIO_LONG_1,1,715.5,711.0,720.6,1.0111,25.279,360.822,kN,1095,5lg
S-40,S,40,V,sp,cen8,CORTANTE_APOIO_INICIO_LONG_1,1,783.6,777.2,790.9,0.8949,22.695,361.59,kN,508,5lg
S-40,S,40,M+,mg,cen6,MOMENTO_MEIO_VAO_LONG_1,1,6455.4,6407.9,6509.0,0.9514,210.027,2519.18,kN.m,6683,5lg
S-40,S,40,M+,mt,cen6,MOMENTO_MEIO_VAO_LONG_1,1,6717.1,6669.2,6771.2,0.9626,222.078,2683.231,kN.m,6985,5lg
S-40,S,40,M+,pb,cen2,MOMENTO_MEIO_VAO_LONG_1,1,5524.4,5483.9,5570.1,0.9694,193.337,2455.119,kN.m,1261,5lg
S-40,S,40,M+,pr,cen6,MOMENTO_MEIO_VAO_LONG_1,1,6448.5,6403.0,6499.9,0.974,220.751,2520.464,kN.m,8616,5lg
S-40,S,40,M+,rj,cen2,MOMENTO_MEIO_VAO_LONG_1,1,5229.8,5200.4,5262.8,1.2232,318.449,2188.283,kN.m,4257,5lg
S-40,S,40,M+,sc,cen6,MOMENTO_MEIO_VAO_LONG_1,1,6072.3,6031.9,6117.8,1.0168,230.434,2452.793,kN.m,8123,5lg
S-40,S,40,M+,sp,cen8,MOMENTO_MEIO_VAO_LONG_1,1,6252.0,6205.1,6305.0,0.9505,207.006,2390.563,kN.m,5957,5lg
C-50,C,50,V,mg,cen4,CORTANTE_APOIO_CENTRAL_LONG_1,1,797.8,792.4,804.0,0.979,27.028,386.051,kN,1034,5lg
C-50,C,50,V,mt,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,1,803.3,798.4,808.9,1.0255,29.098,389.491,kN,2375,5lg
C-50,C,50,V,pb,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,1,781.8,775.2,789.2,0.8976,23.651,378.765,kN,200,5lg
C-50,C,50,V,pr,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,1,824.2,818.5,830.6,0.9732,27.402,386.069,kN,1632,5lg
C-50,C,50,V,rj,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,1,719.1,714.5,724.2,1.0506,28.786,389.644,kN,244,5lg
