UF,VMDa_Class,VeiculoClassificacaoQFV,share_within_group_balanced,n_umos_used,n_rows_used,vmda_group_share,scaled,share_scaled_by_vmda,fallback_all_umos
AL,E,2R4,0.0006770000986310991,9,26654,0.1492661312655774,0.00010105318558907848,0.00010105318558907848,False
AL,E,3C3,0.00034826900066923204,9,26654,0.1492661312655774,5.198476636962505e-05,5.198476636962505e-05,False
AL,F,3T4,0.9134711530384113,9,26654,0.024231514815840488,0.022134789778693157,0.022134789778693157,False
AL,F,4DT,0.04599488250025161,9,26654,0.024231514815840488,0.0011145256767576893,0.0011145256767576893,False
AL,F,3D4,0.03554928052928479,9,26654,0.024231514815840488,0.0008614129178378343,0.0008614129178378343,False
AL,F,4R3,0.004984683932052353,9,26654,0.024231514815840488,0.00012078644255180861,0.00012078644255180861,False
AL,G,3V5,0.7666666666666666,9,26654,0.001938521185267239,0.0014861995753715498,0.0014861995753715498,False
AL,G,3P5,0.17777777777777778,9,26654,0.001938521185267239,0.0003446259884919536,0.0003446259884919536,False
AL,G,3M5,0.05555555555555555,9,26654,0.001938521185267239,0.00010769562140373549,0.00010769562140373549,False
AL,H,3T6,0.48960731615216946,9,26654,0.0335087233453337,0.01640611610479438,0.01640611610479438,False
AL,H,3M6,0.47155411989157753,9,26654,0.0335087233453337,0.01580117654579919,0.01580117654579919,False
AL,H,3R6,0.03883856395625297,9,26654,0.0335087233453337,0.0013014306947401301,0.0013014306947401301,False
BA,A,2C,1.0,2,7217,0.25897494528468296,0.25897494528468296,0.258974945284683,False
BA,B,3C,0.9952811829325962,2,7217,0.21258942279423773,0.21158625219760674,0.21158625219760677,False
BA,B,2I1,0.0026972463715397767,2,7217,0.21258942279423773,0.0005734060492594932,0.0005734060492594933,False
BA,B,2S1,0.0013486231857698884,2,7217,0.21258942279423773,0.0002867030246297466,0.00028670302462974667,False
BA,B,3BB,0.0006729475100942127,2,7217,0.21258942279423773,0.00014306152274174813,0.00014306152274174815,False
BA,C,4CD,0.8293956043956043,2,7217,0.1261882206905563,0.10465995556724984,0.10465995556724986,False
BA,C,2S2,0.15,2,7217,0.1261882206905563,0.018928233103583443,0.018928233103583447,False
BA,C,2I2,0.016758241758241758,2,7217,0.1261882206905563,0.002114692709374707,0.0021146927093747075,False
BA,C,2C2,0.0038461538461538464,2,7217,0.1261882206905563,0.0004853393103482935,0.00048533931034829356,False
BA,D,2S3,0.9354748129781508,2,7217,0.1045307549080456,0.09778588839806888,0.0977858883980689,False
BA,D,2I3,0.026524784368576092,2,7217,0.1045307549080456,0.0027726557338203866,0.002772655733820387,False
BA,D,3I2,0.017247864878038446,2,7217,0.1045307549080456,0.0018029323362533246,0.0018029323362533248,False
BA,D,3C2,0.01044514378960307,2,7217,0.1045307549080456,0.0010918387654502931,0.0010918387654502934,False
BA,D,3S2,0.010307393985631637,2,7217,0.1045307549080456,0.0010774396744527238,0.001077439674452724,False
BA,E,3S3,0.8493894687541818,2,7217,0.16884983503740242,0.14341927168165047,0.1434192716816505,False
