UF,VMDa_Class,VeiculoClassificacaoQFV,share_within_group_balanced,n_umos_used,n_rows_used
PE,F,3T4,0.9134711530384113,9,26654
PE,F,4DT,0.04599488250025161,9,26654
PE,F,4R3,0.004984683932052353,9,26654
PE,G,3M5,0.05555555555555555,9,26654
PE,G,3P5,0.17777777777777778,9,26654
PE,G,3V5,0.7666666666666666,9,26654
PE,H,3M6,0.47155411989157753,9,26654
PE,H,3R6,0.03883856395625297,9,26654
PE,H,3T6,0.48960731615216946,9,26654
PI,A,2C,1.0,2,2849
PI,B,2I1,0.002551020408163265,2,2849
PI,B,3C,0.9974489795918368,2,2849
PI,C,2C2,0.008967391304347826,2,2849
PI,C,2I2,0.034239130434782605,2,2849
PI,C,2S2,0.027989130434782607,2,2849
PI,C,4CD,0.928804347826087,2,2849
PI,D,2I3,0.07784023164707886,2,2849
PI,D,2S3,0.8443195367058423,2,2849
PI,D,3I2,0.03210696644523931,2,2849
PI,D,3S2,0.04573326520183955,2,2849
PI,E,2N4,0.004704958947359138,2,2849
PI,E,3I1,0.006825938566552901,2,2849
PI,E,3I3,0.40165004277235405,2,2849
PI,E,3S3,0.5868190597137339,2,2849
PI,F,3D4,0.007352941176470588,2,2849
PI,F,3T4,0.9926470588235294,2,2849
PI,G,3V5,1.0,2,2849
PI,H,3M6,0.41317488262910795,2,2849
PI,H,3T6,0.586825117370892,2,2849
PR,A,2C,0.943502824858757,2,14820
PR,A,2CC,0.05649717514124294,2,14820
PR,B,2I1,0.005040547368302205,2,14820
PR,B,2S1,0.0025107472401538914,2,14820
PR,B,3C,0.992448705391544,2,14820
PR,C,2C2,0.000708215297450425,2,14820
PR,C,2I2,0.07683582684135977,2,14820
PR,C,2S2,0.044556701487252125,2,14820
PR,C,4C,0.000708215297450425,2,14820
PR,C,4CD,0.8771910410764873,2,14820
PR,D,2C3,0.0037593984962406013,2,14820
PR,D,2I3,0.05154514727184935,2,14820
PR,D,2S3,0.7904394012554321,2,14820
PR,D,3C2,0.011278195488721804,2,14820
PR,D,3I2,0.09143271021590674,2,14820
PR,D,3S2,0.05154514727184935,2,14820
PR,E,2N4,0.000522666282354409,2,14820
PR,E,3C3,0.0012181038155726744,2,14820
PR,E,3I1,0.0064534716986424465,2,14820
PR,E,3I3,0.2081594941006295,2,14820
PR,E,3LD,0.00017277125086385625,2,14820
PR,E,3S3,0.7834734928519371,2,14820
PR,F,3D4,0.003730080068304513,2,14820
PR,F,3T4,0.9628176356801654,2,14820
PR,F,4DT,0.027742054649997926,2,14820
PR,F,4R3,0.005710229601532168,2,14820
PR,G,3M5,0.16666666666666666,2,14820
PR,G,3V5,0.8333333333333334,2,14820
PR,H,3M6,0.5107198522224452,2,14820
PR,H,3T6,0.4892801477775549,2,14820
RJ,A,2C,0.7547568710359408,1,2762
RJ,A,2CC,0.2452431289640592,1,2762
RJ,B,2S1,0.0016025641025641025,1,2762
RJ,B,3C,0.9983974358974359,1,2762
RJ,C,2I2,0.02197802197802198,1,2762
RJ,C,2S2,0.054945054945054944,1,2762
RJ,C,4CD,0.9230769230769231,1,2762
RJ,D,2I3,0.05063291139240506,1,2762
RJ,D,2S3,0.8860759493670886,1,2762
RJ,D,3C2,0.012658227848101266,1,2762
RJ,D,3I2,0.02531645569620253,1,2762
RJ,D,3S2,0.02531645569620253,1,2762
RJ,E,3I3,0.1917808219178082,1,2762
RJ,E,3S3,0.8082191780821918,1,2762
RJ,H,3M6,1.0,1,2762
RN,A,2C,0.9869565217391304,1,3979
RN,A,2CC,0.013043478260869565,1,3979
RN,B,2I1,0.0035810205908683975,1,3979
